id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2022-11-21T16:09:17;RAM systemic;PAID;CASH_ON_DELIVERY;2022-11-21T20:35:12;5801;Infrastructure gold Grove;1
2;2022-11-21T12:59:23;Soft program;CANCELLED;CREDIT_CARD;2022-11-21T15:33:47;92692;Consultant;2
3;2022-11-21T22:36:28;reciprocal;ISSUED;PAYPAL;2022-11-21T20:12:09;56857;Home;3
4;2022-11-22T00:10:25;Bhutanese;CANCELLED;PAYPAL;2022-11-22T01:59:58;87472;parse intuitive Division;4
5;2022-11-21T14:56:43;back-end synergy transmitting;CANCELLED;CASH_ON_DELIVERY;2022-11-21T13:21:53;98367;Gloves visualize;5
6;2022-11-21T09:36:51;function;CANCELLED;CREDIT_CARD;2022-11-22T04:27:37;85471;Director;6
7;2022-11-22T01:20:25;Maine;PAID;CREDIT_CARD;2022-11-21T10:36:39;11254;customized hub;7
8;2022-11-21T19:55:11;Agent Towels Groves;PAID;PAYPAL;2022-11-21T10:14:54;83224;interactive deposit Electronics;8
9;2022-11-21T12:23:31;Concrete Toys Plains;PAID;CREDIT_CARD;2022-11-21T17:53:52;34085;Wooden Intuitive applications;9
10;2022-11-22T05:13:32;Arizona Vermont system;ISSUED;CREDIT_CARD;2022-11-21T15:26:09;6974;CSS;10
